Timestamp,AMS00_PF3A_AccumFlow,AMS00_PF3A_Flow,AMS00_PF3A_Temperature,AMS00_PF3A_Pressure,AMS00_ITV_Value,
13:28:26.966,25210,0,20.5,0.501,0.499,inicio 4
13:28:27.465,25210,0,20.6,0.501,0.5,00:02:28.940
13:28:27.991,25210,0,20.5,0.495,0.5,
13:28:28.506,25210,179,20.2,0.5,0.5,
13:28:29.019,25210,222,20.1,0.501,0.5,
13:28:29.517,25220,166,20,0.501,0.5,
13:28:30.045,25220,105,20.1,0.501,0.5,
13:28:30.574,25220,39,20.1,0.501,0.5,
13:28:31.073,25220,0,20.2,0.501,0.5,
13:28:31.601,25220,0,20.2,0.501,0.5,
13:28:32.112,25220,0,20.2,0.501,0.5,
13:28:32.644,25220,0,20.3,0.501,0.5,
13:28:33.173,25220,0,20.3,0.501,0.5,
13:28:33.687,25220,0,20.3,0.501,0.499,
13:28:34.212,25220,0,20.4,0.502,0.5,
13:28:34.726,25220,0,20.4,0.501,0.5,
13:28:35.237,25220,0,20.4,0.501,0.5,
13:28:35.761,25220,0,20.4,0.501,0.5,
13:28:36.276,25220,0,20.4,0.502,0.5,
13:28:36.794,25220,0,20.4,0.501,0.499,
13:28:37.307,25220,0,20.4,0.502,0.501,
13:28:37.836,25220,0,20.4,0.501,0.499,
13:28:38.363,25220,0,20.5,0.502,0.5,
13:28:38.866,25220,0,20.5,0.501,0.5,
13:28:39.395,25220,0,20.5,0.501,0.5,
13:28:39.907,25220,0,20.5,0.501,0.5,
13:28:40.418,25220,0,20.5,0.501,0.499,
13:28:40.948,25220,0,20.5,0.501,0.5,
13:28:41.461,25220,0,20.5,0.501,0.5,
13:28:41.973,25220,0,20.5,0.501,0.5,
13:28:42.487,25220,0,20.5,0.501,0.5,
13:28:43.016,25220,0,20.5,0.501,0.5,
13:28:43.517,25220,0,20.5,0.501,0.5,
13:28:44.047,25220,0,20.5,0.501,0.5,
13:28:44.557,25220,0,20.5,0.501,0.5,
13:28:45.070,25220,0,20.5,0.501,0.5,
13:28:45.599,25220,0,20.5,0.501,0.5,
13:28:46.115,25220,0,20.6,0.501,0.5,
13:28:46.632,25220,0,20.5,0.501,0.5,
13:28:47.139,25220,0,20.6,0.501,0.5,
13:28:47.664,25220,0,20.5,0.501,0.5,
13:28:48.194,25220,0,20.6,0.501,0.5,
13:28:48.706,25220,0,20.6,0.501,0.5,
13:28:49.234,25220,0,20.5,0.501,0.5,
13:28:49.749,25220,0,20.6,0.501,0.5,
13:28:50.263,25220,0,20.6,0.501,0.5,
13:28:50.832,25220,0,20.6,0.501,0.5,
13:28:51.291,25220,0,20.6,0.501,0.499,
13:28:51.802,25220,0,20.6,0.501,0.5,
13:28:52.315,25220,0,20.6,0.502,0.5,
13:28:52.843,25220,0,20.6,0.501,0.499,
13:28:53.358,25220,0,20.6,0.501,0.5,
13:28:53.856,25220,0,20.6,0.502,0.5,
13:28:54.383,25220,0,20.6,0.501,0.499,
13:28:54.911,25220,0,20.6,0.501,0.5,
13:28:55.438,25220,0,20.6,0.501,0.5,
13:28:55.945,25220,0,20.6,0.501,0.5,
13:28:56.468,25220,0,20.6,0.501,0.5,
13:28:56.983,25220,0,20.6,0.501,0.5,
13:28:57.497,25220,0,20.6,0.501,0.5,
13:28:58.024,25220,0,20.6,0.501,0.5,
13:28:58.540,25220,0,20.6,0.501,0.5,
13:28:59.054,25220,0,20.6,0.501,0.5,
13:28:59.565,25220,0,20.6,0.501,0.5,
13:29:00.079,25220,0,20.6,0.501,0.5,
13:29:00.607,25220,0,20.6,0.501,0.5,
13:29:01.121,25220,0,20.6,0.501,0.5,
13:29:01.651,25220,0,20.6,0.501,0.5,
13:29:02.146,25220,0,20.6,0.501,0.5,
13:29:02.662,25220,0,20.6,0.501,0.5,
13:29:03.192,25220,0,20.6,0.501,0.5,
13:29:03.719,25220,0,20.6,0.501,0.5,
13:29:04.233,25220,0,20.6,0.501,0.5,
13:29:04.746,25220,0,20.6,0.501,0.5,
13:29:05.257,25220,0,20.6,0.501,0.5,
13:29:05.787,25220,0,20.6,0.501,0.5,
13:29:06.292,25220,0,20.6,0.501,0.5,
13:29:06.810,25220,0,20.6,0.501,0.5,
13:29:07.335,25220,0,20.6,0.501,0.5,
13:29:07.866,25220,0,20.6,0.501,0.5,
13:29:08.380,25220,0,20.6,0.501,0.5,
13:29:08.895,25220,0,20.6,0.501,0.5,
13:29:09.421,25220,0,20.6,0.501,0.5,
13:29:09.933,25220,0,20.6,0.501,0.5,
13:29:10.460,25220,0,20.6,0.501,0.5,
13:29:10.976,25220,0,20.6,0.501,0.5,
13:29:11.524,25220,0,20.6,0.501,0.5,
13:29:12.003,25220,0,20.6,0.501,0.5,
13:29:12.518,25220,0,20.6,0.501,0.5,
13:29:13.031,25220,0,20.6,0.501,0.5,
13:29:13.544,25220,0,20.6,0.501,0.5,
13:29:14.073,25220,0,20.6,0.501,0.5,
13:29:14.584,25220,0,20.6,0.502,0.5,
13:29:15.084,25220,66,20.5,0.501,0.5,
13:29:15.610,25220,70,20.5,0.502,0.5,
13:29:16.138,25220,160,20.2,0.5,0.499,
13:29:16.657,25220,387,19.8,0.5,0.5,
13:29:17.171,25230,443,19.6,0.501,0.5,
13:29:17.684,25230,291,19.7,0.502,0.5,
13:29:18.217,25230,171,19.7,0.501,0.5,
13:29:18.730,25230,128,19.7,0.501,0.501,
13:29:19.260,25230,200,19.7,0.501,0.499,
13:29:19.773,25240,142,19.8,0.501,0.5,
13:29:20.303,25240,162,19.7,0.5,0.5,
13:29:20.814,25240,192,19.7,0.501,0.5,
13:29:21.329,25240,76,19.8,0.501,0.5,
13:29:21.857,25240,46,19.9,0.501,0.499,
13:29:22.414,25240,0,20,0.501,0.5,
13:29:22.903,25240,24,20,0.501,0.5,
13:29:23.402,25240,0,20.1,0.501,0.5,
13:29:23.915,25240,20,20.1,0.501,0.5,
13:29:24.427,25240,0,20.2,0.501,0.5,
13:29:24.939,25240,0,20.2,0.501,0.5,
13:29:25.456,25240,0,20.2,0.501,0.5,
13:29:25.970,25240,0,20.2,0.501,0.5,
13:29:26.494,25240,0,20.3,0.501,0.5,
13:29:27.015,25240,0,20.3,0.501,0.5,
13:29:27.537,25240,0,20.3,0.483,0.479,
13:29:28.051,25240,419,19.8,0.5,0.5,
13:29:28.565,25250,522,19.5,0.5,0.499,
13:29:29.094,25250,506,19.4,0.501,0.5,
13:29:29.607,25250,336,19.5,0.501,0.5,
13:29:30.136,25260,133,19.6,0.501,0.5,
13:29:30.649,25260,53,19.7,0.501,0.5,
13:29:31.161,25260,34,19.7,0.501,0.5,
13:29:31.689,25260,0,19.8,0.501,0.5,
13:29:32.203,25260,0,19.9,0.501,0.5,
13:29:32.733,25260,0,20,0.501,0.5,
13:29:33.247,25260,0,20,0.501,0.5,
13:29:33.744,25260,0,20,0.501,0.5,
13:29:34.271,25260,0,20.1,0.501,0.5,
13:29:34.800,25260,0,20.1,0.501,0.5,
13:29:35.312,25260,0,20.2,0.501,0.5,
13:29:35.813,25260,0,20.2,0.501,0.5,
13:29:36.341,25260,0,20.2,0.501,0.5,
13:29:36.860,25260,0,20.2,0.501,0.499,
13:29:37.377,25260,0,20.2,0.501,0.5,
13:29:37.891,25260,0,20.3,0.501,0.5,
13:29:38.419,25260,0,20.3,0.501,0.5,
13:29:38.932,25260,0,20.3,0.502,0.5,
13:29:39.446,25260,0,20.3,0.501,0.5,
13:29:39.961,25260,0,20.3,0.501,0.5,
13:29:40.491,25260,0,20.4,0.502,0.5,
13:29:40.990,25260,0,20.4,0.502,0.5,
13:29:41.503,25260,0,20.4,0.501,0.5,
13:29:42.018,25260,0,20.4,0.501,0.5,
13:29:42.535,25260,0,20.4,0.501,0.5,
13:29:43.048,25260,0,20.4,0.501,0.5,
13:29:43.563,25260,0,20.4,0.501,0.5,
13:29:44.090,25260,0,20.4,0.501,0.5,
13:29:44.589,25260,0,20.4,0.501,0.5,
13:29:45.102,25260,0,20.4,0.501,0.5,
13:29:45.617,25260,0,20.4,0.501,0.5,
13:29:46.132,25260,0,20.4,0.501,0.5,
13:29:46.658,25260,0,20.5,0.501,0.5,
13:29:47.179,25260,0,20.5,0.501,0.5,
13:29:47.699,25260,0,20.5,0.501,0.5,
13:29:48.227,25260,0,20.5,0.501,0.5,
13:29:48.725,25260,0,20.5,0.501,0.5,
13:29:49.240,25260,0,20.5,0.502,0.5,
13:29:49.754,25260,0,20.5,0.501,0.5,
13:29:50.270,25260,0,20.5,0.501,0.5,
13:29:50.802,25260,0,20.5,0.501,0.5,
13:29:51.302,25260,0,20.5,0.502,0.5,
13:29:51.829,25260,0,20.5,0.501,0.499,
13:29:52.343,25260,0,20.5,0.502,0.5,
13:29:52.872,25260,0,20.5,0.501,0.499,
13:29:53.385,25260,0,20.5,0.501,0.5,
13:29:53.913,25260,0,20.5,0.502,0.5,
13:29:54.423,25260,0,20.5,0.501,0.499,
13:29:54.936,25260,0,20.5,0.502,0.5,
13:29:55.448,25260,0,20.5,0.501,0.5,
13:29:55.964,25260,0,20.5,0.501,0.5,
13:29:56.476,25260,0,20.5,0.502,0.5,
13:29:56.993,25260,0,20.5,0.501,0.5,
13:29:57.508,25260,0,20.5,0.501,0.5,
13:29:58.032,25260,0,20.5,0.501,0.5,
13:29:58.533,25260,0,20.5,0.501,0.5,
13:29:59.064,25260,0,20.5,0.501,0.5,
13:29:59.591,25260,0,20.5,0.501,0.5,
13:30:00.090,25260,0,20.5,0.501,0.5,
13:30:00.602,25260,0,20.5,0.502,0.5,
13:30:01.115,25260,0,20.5,0.501,0.5,
13:30:01.644,25260,0,20.5,0.501,0.5,
13:30:02.139,25260,0,20.5,0.501,0.5,
13:30:02.668,25260,0,20.5,0.502,0.5,
13:30:03.166,25260,0,20.5,0.502,0.5,
13:30:03.694,25260,0,20.5,0.501,0.499,
13:30:04.208,25260,0,20.6,0.501,0.5,
13:30:04.737,25260,0,20.5,0.502,0.5,
13:30:05.250,25260,0,20.5,0.501,0.5,
13:30:05.779,25260,0,20.6,0.501,0.5,
13:30:06.295,25260,0,20.5,0.502,0.5,
13:30:06.809,25260,0,20.5,0.501,0.5,
13:30:07.324,25260,0,20.6,0.501,0.5,
13:30:07.841,25260,0,20.5,0.501,0.5,
13:30:08.368,25260,0,20.5,0.502,0.5,
13:30:08.883,25260,0,20.6,0.502,0.5,
13:30:09.397,25260,0,20.6,0.502,0.5,
13:30:09.893,25260,0,20.6,0.502,0.5,
13:30:10.408,25260,0,20.6,0.501,0.5,
13:30:10.923,25260,0,20.6,0.501,0.5,
13:30:11.450,25260,0,20.6,0.501,0.5,
13:30:11.948,25260,0,20.6,0.501,0.5,
13:30:12.467,25260,0,20.6,0.501,0.5,
13:30:12.995,25260,0,20.6,0.501,0.5,
13:30:13.525,25260,0,20.6,0.501,0.5,
13:30:14.040,25260,0,20.6,0.501,0.5,
13:30:14.537,25260,0,20.6,0.502,0.5,
13:30:15.051,25260,0,20.6,0.502,0.5,
13:30:15.580,25260,0,20.6,0.502,0.5,
13:30:16.076,25260,0,20.6,0.502,0.5,
13:30:16.606,25260,0,20.6,0.501,0.5,
13:30:17.130,25260,0,20.6,0.501,0.5,
13:30:17.647,25260,0,20.6,0.501,0.5,
13:30:18.168,25260,0,20.6,0.501,0.5,
13:30:18.683,25260,0,20.6,0.501,0.5,
13:30:19.197,25260,0,20.6,0.502,0.5,
13:30:19.713,25260,0,20.6,0.501,0.5,
13:30:20.243,25260,0,20.6,0.501,0.5,
13:30:20.758,25260,0,20.6,0.501,0.5,
13:30:21.255,25260,0,20.6,0.502,0.5,
13:30:21.780,25260,0,20.6,0.502,0.5,
13:30:22.296,25260,0,20.6,0.502,0.5,
13:30:22.824,25260,0,20.6,0.502,0.5,
13:30:23.324,25260,0,20.6,0.502,0.5,
13:30:23.853,25260,0,20.6,0.502,0.5,
13:30:24.368,25260,0,20.6,0.501,0.5,
13:30:24.896,25260,0,20.6,0.501,0.5,
13:30:25.393,25260,0,20.6,0.501,0.5,
13:30:25.923,25260,0,20.6,0.501,0.5,
13:30:26.421,25260,0,20.6,0.501,0.5,
13:30:26.934,25260,0,20.6,0.501,0.5,
13:30:27.456,25260,0,20.6,0.502,0.5,
13:30:27.969,25260,0,20.6,0.502,0.5,
13:30:28.495,25260,0,20.6,0.502,0.5,
13:30:29.024,25260,0,20.6,0.502,0.5,
13:30:29.535,25260,155,19.9,0.494,0.503,
13:30:30.050,25260,580,19.6,0.501,0.5,
13:30:30.576,25270,526,19.5,0.501,0.501,
13:30:31.073,25270,428,19.5,0.502,0.499,
13:30:31.605,25270,330,19.5,0.501,0.5,
13:30:32.102,25280,213,19.6,0.501,0.499,
13:30:32.616,25280,165,19.6,0.501,0.499,
13:30:33.145,25280,276,19.5,0.5,0.499,
13:30:33.646,25280,416,19.4,0.501,0.5,
13:30:34.175,25290,361,19.5,0.501,0.5,
13:30:34.674,25290,184,19.5,0.5,0.5,
13:30:35.202,25290,160,19.6,0.502,0.5,
13:30:35.701,25290,110,19.7,0.502,0.5,
13:30:36.217,25290,72,19.7,0.501,0.5,
13:30:36.730,25290,34,19.8,0.501,0.5,
13:30:37.241,25290,29,19.9,0.501,0.499,
13:30:37.770,25290,0,19.9,0.502,0.499,
13:30:38.296,25290,0,20,0.501,0.5,
13:30:38.810,25290,0,20,0.501,0.5,
13:30:39.340,25290,0,20.1,0.501,0.5,
13:30:39.853,25290,0,20.1,0.501,0.5,
13:30:40.367,25290,0,20.1,0.502,0.5,
13:30:40.883,25290,0,20.2,0.501,0.5,
13:30:41.394,25290,0,20.2,0.501,0.5,
13:30:41.907,25290,0,20.2,0.501,0.5,
13:30:42.419,25290,0,20.2,0.501,0.5,
13:30:42.935,25290,0,20.3,0.502,0.5,
13:30:43.465,25290,0,20.3,0.502,0.5,
13:30:43.965,25290,0,20.3,0.502,0.5,
13:30:44.478,25290,0,20.3,0.501,0.5,
13:30:45.005,25290,20,20.2,0.501,0.5,
13:30:45.520,25290,163,20.1,0.501,0.5,
13:30:46.034,25300,138,20,0.501,0.5,
13:30:46.533,25300,117,20.1,0.502,0.5,
13:30:47.046,25300,54,20.1,0.5,0.499,
13:30:47.572,25300,31,20.1,0.502,0.5,
13:30:48.091,25300,0,20.2,0.501,0.5,
13:30:48.609,25300,0,20.2,0.502,0.5,
13:30:49.125,25300,0,20.2,0.501,0.5,
13:30:49.638,25300,0,20.3,0.501,0.5,
13:30:50.167,25300,0,20.3,0.502,0.5,
13:30:50.694,25300,99,20.1,0.502,0.5,
13:30:51.191,25300,80,20,0.464,0.477,
13:30:51.704,25300,433,19.7,0.501,0.5,
13:30:52.217,25300,277,19.7,0.501,0.5,
13:30:52.747,25310,168,19.8,0.502,0.5,
13:30:53.259,25310,74,19.8,0.501,0.5,
13:30:53.787,25310,36,19.9,0.502,0.5,
13:30:54.430,25310,0,20,0.501,0.5,
13:30:54.812,25310,0,20,0.501,0.5,
13:30:55.344,25310,0,20.1,0.501,0.5,
13:30:55.906,25310,0,20.1,0.501,0.5,fin 4
